model,task,value
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.05
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.01
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.01
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.05
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.01
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,context_A_then_B,0.3
gpt-oss:20b,context_A_then_B,0.08
gpt-oss:20b,context_A_then_B,0.25
gpt-oss:20b,context_A_then_B,0.35
gpt-oss:20b,context_A_then_B,0.25
gpt-oss:20b,context_A_then_B,0.3
gpt-oss:20b,context_A_then_B,0.68
gpt-oss:20b,context_A_then_B,0.7
gpt-oss:20b,context_A_then_B,0.7
gpt-oss:20b,context_A_then_B,0.3
gpt-oss:20b,context_A_then_B,0.35
gpt-oss:20b,context_A_then_B,0.3
gpt-oss:20b,context_A_then_B,0.3
gpt-oss:20b,context_A_then_B,0.35
gpt-oss:20b,context_A_then_B,0.6
gpt-oss:20b,context_A_then_B,0.3
gpt-oss:20b,context_A_then_B,0.5
gpt-oss:20b,context_A_then_B,0.7
gpt-oss:20b,context_A_then_B,0.75
gpt-oss:20b,context_A_then_B,0.6
gpt-oss:20b,context_A_then_B,0.6
gpt-oss:20b,context_A_then_B,0.4
gpt-oss:20b,context_A_then_B,0.18
gpt-oss:20b,context_A_then_B,0.4
gpt-oss:20b,context_A_then_B,0.35
gpt-oss:20b,context_A_then_B,0.7
gpt-oss:20b,context_A_then_B,0.35
gpt-oss:20b,context_A_then_B,0.6
gpt-oss:20b,context_A_then_B,0.05
gpt-oss:20b,context_A_then_B,0.65
gpt-oss:20b,context_A_then_B,0.7
gpt-oss:20b,context_A_then_B,0.7
gpt-oss:20b,context_A_then_B,0.75
gpt-oss:20b,context_A_then_B,0.6
gpt-oss:20b,context_A_then_B,0.65
gpt-oss:20b,context_A_then_B,0.7
gpt-oss:20b,context_A_then_B,0.25
gpt-oss:20b,context_A_then_B,0.35
gpt-oss:20b,context_A_then_B,0.4
gpt-oss:20b,context_A_then_B,0.4
gpt-oss:20b,context_A_then_B,0.3
gpt-oss:20b,context_A_then_B,0.55
gpt-oss:20b,context_A_then_B,0.3
gpt-oss:20b,context_A_then_B,0.4
gpt-oss:20b,context_A_then_B,0.15
gpt-oss:20b,context_A_then_B,0.75
gpt-oss:20b,context_A_then_B,0.4
gpt-oss:20b,context_A_then_B,0.35
gpt-oss:20b,context_A_then_B,0.35
gpt-oss:20b,context_A_then_B,0.4
gpt-oss:20b,context_A_then_B,0.4
gpt-oss:20b,context_A_then_B,0.35
gpt-oss:20b,context_A_then_B,0.3
gpt-oss:20b,context_A_then_B,0.4
gpt-oss:20b,context_A_then_B,0.4
gpt-oss:20b,context_A_then_B,0.7
gpt-oss:20b,context_A_then_B,0.4
gpt-oss:20b,context_A_then_B,0.4
gpt-oss:20b,context_A_then_B,0.7
gpt-oss:20b,context_A_then_B,0.35
gpt-oss:20b,context_A_then_B,0.65
gpt-oss:20b,context_A_then_B,0.55
gpt-oss:20b,context_A_then_B,0.75
gpt-oss:20b,context_A_then_B,0.55
gpt-oss:20b,context_A_then_B,0.25
gpt-oss:20b,context_A_then_B,0.6
gpt-oss:20b,context_A_then_B,0.45
gpt-oss:20b,context_A_then_B,0.15
gpt-oss:20b,context_A_then_B,0.7
gpt-oss:20b,context_A_then_B,0.25
gpt-oss:20b,context_A_then_B,0.75
gpt-oss:20b,context_A_then_B,0.7
gpt-oss:20b,context_A_then_B,0.6
gpt-oss:20b,context_A_then_B,0.3
gpt-oss:20b,context_A_then_B,0.3
gpt-oss:20b,context_A_then_B,0.65
gpt-oss:20b,context_A_then_B,0.45
gpt-oss:20b,context_A_then_B,0.75
gpt-oss:20b,context_A_then_B,0.65
gpt-oss:20b,context_A_then_B,0.7
gpt-oss:20b,context_A_then_B,0.3
gpt-oss:20b,context_A_then_B,0.6
gpt-oss:20b,context_A_then_B,0.7
gpt-oss:20b,context_A_then_B,0.68
gpt-oss:20b,context_A_then_B,0.35
gpt-oss:20b,context_A_then_B,0.6
gpt-oss:20b,context_A_then_B,0.3
gpt-oss:20b,context_A_then_B,0.13
gpt-oss:20b,context_A_then_B,0.65
gpt-oss:20b,context_A_then_B,0.4
gpt-oss:20b,context_A_then_B,0.35
gpt-oss:20b,context_A_then_B,0.4
gpt-oss:20b,context_A_then_B,0.4
gpt-oss:20b,context_A_then_B,0.6
gpt-oss:20b,context_A_then_B,0.7
gpt-oss:20b,context_A_then_B,0.7
gpt-oss:20b,context_A_then_B,0.35
gpt-oss:20b,context_A_then_B,0.6
gpt-oss:20b,context_A_then_B,0.4
gpt-oss:20b,context_A_then_B,0.4
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.75
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,context_B_then_A,0.9
gpt-oss:20b,context_B_then_A,0.75
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.7
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,context_B_then_A,0.9
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.75
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.9
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,context_B_then_A,0.7
gpt-oss:20b,context_B_then_A,0.9
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.75
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,context_B_then_A,0.9
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,context_B_then_A,0.9
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,context_B_then_A,0.9
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.75
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.88
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,context_B_then_A,0.85
gpt-oss:20b,context_B_then_A,0.8
gpt-oss:20b,prob_A,0.6
gpt-oss:20b,prob_A,0.65
gpt-oss:20b,prob_A,0.7
gpt-oss:20b,prob_A,0.7
gpt-oss:20b,prob_A,0.6
gpt-oss:20b,prob_A,0.35
gpt-oss:20b,prob_A,0.6
gpt-oss:20b,prob_A,0.55
gpt-oss:20b,prob_A,0.7
gpt-oss:20b,prob_A,0.35
gpt-oss:20b,prob_A,0.6
gpt-oss:20b,prob_A,0.2
gpt-oss:20b,prob_A,0.7
gpt-oss:20b,prob_A,0.7
gpt-oss:20b,prob_A,0.75
gpt-oss:20b,prob_A,0.35
gpt-oss:20b,prob_A,0.35
gpt-oss:20b,prob_A,0.65
gpt-oss:20b,prob_A,0.65
gpt-oss:20b,prob_A,0.7
gpt-oss:20b,prob_A,0.8
gpt-oss:20b,prob_A,0.7
gpt-oss:20b,prob_A,0.7
gpt-oss:20b,prob_A,0.4
gpt-oss:20b,prob_A,0.65
gpt-oss:20b,prob_A,0.6
gpt-oss:20b,prob_A,0.3
gpt-oss:20b,prob_A,0.7
gpt-oss:20b,prob_A,0.4
gpt-oss:20b,prob_A,0.4
gpt-oss:20b,prob_A,0.4
gpt-oss:20b,prob_A,0.4
gpt-oss:20b,prob_A,0.7
gpt-oss:20b,prob_A,0.6
gpt-oss:20b,prob_A,0.6
gpt-oss:20b,prob_A,0.75
gpt-oss:20b,prob_A,0.25
gpt-oss:20b,prob_A,0.7
gpt-oss:20b,prob_A,0.4
gpt-oss:20b,prob_A,0.75
gpt-oss:20b,prob_A,0.3
gpt-oss:20b,prob_A,0.7
gpt-oss:20b,prob_A,0.6
gpt-oss:20b,prob_A,0.6
gpt-oss:20b,prob_A,0.75
gpt-oss:20b,prob_A,0.75
gpt-oss:20b,prob_A,0.6
gpt-oss:20b,prob_A,0.45
gpt-oss:20b,prob_A,0.4
gpt-oss:20b,prob_A,0.4
gpt-oss:20b,prob_A,0.4
gpt-oss:20b,prob_A,0.7
gpt-oss:20b,prob_A,0.45
gpt-oss:20b,prob_A,0.35
gpt-oss:20b,prob_A,0.4
gpt-oss:20b,prob_A,0.4
gpt-oss:20b,prob_A,0.7
gpt-oss:20b,prob_A,0.5
gpt-oss:20b,prob_A,0.6
gpt-oss:20b,prob_A,0.3
gpt-oss:20b,prob_A,0.7
gpt-oss:20b,prob_A,0.7
gpt-oss:20b,prob_A,0.6
gpt-oss:20b,prob_A,0.4
gpt-oss:20b,prob_A,0.7
gpt-oss:20b,prob_A,0.7
gpt-oss:20b,prob_A,0.7
gpt-oss:20b,prob_A,0.8
gpt-oss:20b,prob_A,0.7
gpt-oss:20b,prob_A,0.65
gpt-oss:20b,prob_A,0.4
gpt-oss:20b,prob_A,0.7
gpt-oss:20b,prob_A,0.8
gpt-oss:20b,prob_A,0.65
gpt-oss:20b,prob_A,0.7
gpt-oss:20b,prob_A,0.35
gpt-oss:20b,prob_A,0.65
gpt-oss:20b,prob_A,0.7
gpt-oss:20b,prob_A,0.8
gpt-oss:20b,prob_A,0.4
gpt-oss:20b,prob_A,0.8
gpt-oss:20b,prob_A,0.3
gpt-oss:20b,prob_A,0.65
gpt-oss:20b,prob_A,0.65
gpt-oss:20b,prob_A,0.6
gpt-oss:20b,prob_A,0.6
gpt-oss:20b,prob_A,0.6
gpt-oss:20b,prob_A,0.7
gpt-oss:20b,prob_A,0.6
gpt-oss:20b,prob_A,0.55
gpt-oss:20b,prob_A,0.6
gpt-oss:20b,prob_A,0.65
gpt-oss:20b,prob_A,0.7
gpt-oss:20b,prob_A,0.6
gpt-oss:20b,prob_A,0.3
gpt-oss:20b,prob_A,0.7
gpt-oss:20b,prob_A,0.65
gpt-oss:20b,prob_A,0.3
gpt-oss:20b,prob_A,0.6
gpt-oss:20b,prob_A,0.65
gpt-oss:20b,prob_A_given_not_B,0.35
gpt-oss:20b,prob_A_given_not_B,0.6
gpt-oss:20b,prob_A_given_not_B,0.4
gpt-oss:20b,prob_A_given_not_B,0.45
gpt-oss:20b,prob_A_given_not_B,0.7
gpt-oss:20b,prob_A_given_not_B,0.2
gpt-oss:20b,prob_A_given_not_B,0.7
gpt-oss:20b,prob_A_given_not_B,0.55
gpt-oss:20b,prob_A_given_not_B,0.5
gpt-oss:20b,prob_A_given_not_B,0.35
gpt-oss:20b,prob_A_given_not_B,0.55
